Created as New Dataset,
nm,%T
800.0,28.95
798.0,28.98
796.0,29.26
794.0,29.77
792.0,30.43
790.0,31.10
788.0,31.48
786.0,31.55
784.0,31.39
782.0,31.05
780.0,30.57
778.0,29.99
776.0,29.31
774.0,28.55
772.0,27.75
770.0,26.90
768.0,26.03
766.0,25.10
764.0,24.15
762.0,23.17
760.0,22.14
758.0,20.95
756.0,19.63
754.0,18.33
752.0,17.10
750.0,16.05
748.0,15.69
746.0,15.86
744.0,15.55
742.0,14.93
740.0,14.68
738.0,14.78
736.0,15.88
734.0,17.74
732.0,19.30
730.0,20.18
728.0,20.60
726.0,20.74
724.0,20.77
722.0,20.76
720.0,20.71
718.0,20.66
716.0,20.60
714.0,20.53
712.0,20.46
710.0,20.37
708.0,20.29
706.0,20.20
704.0,20.10
702.0,20.00
700.0,19.88
698.0,19.74
696.0,19.58
694.0,19.39
692.0,19.15
690.0,18.90
688.0,18.63
686.0,18.36
684.0,18.15
682.0,18.08
680.0,18.02
678.0,17.91
676.0,17.79
674.0,17.65
672.0,17.49
670.0,17.35
668.0,17.21
666.0,17.06
664.0,16.87
662.0,16.61
660.0,16.37
658.0,16.21
656.0,16.10
654.0,15.97
652.0,15.81
650.0,15.79
648.0,15.92
646.0,16.05
644.0,16.20
642.0,16.36
640.0,16.44
638.0,16.48
636.0,16.53
634.0,16.56
632.0,16.58
630.0,16.61
628.0,16.66
626.0,16.70
624.0,16.74
622.0,16.80
620.0,16.86
618.0,16.89
616.0,16.83
614.0,16.64
612.0,16.33
610.0,16.02
608.0,15.77
606.0,15.52
604.0,15.14
602.0,14.58
600.0,13.90
598.0,13.13
596.0,12.06
594.0,10.68
592.0,9.51
590.0,8.63
588.0,7.60
586.0,6.75
584.0,7.07
582.0,8.51
580.0,9.51
578.0,9.38
576.0,8.96
574.0,8.72
572.0,9.46
570.0,12.30
568.0,15.81
566.0,17.93
564.0,18.79
562.0,19.14
560.0,19.28
558.0,19.38
556.0,19.44
554.0,19.47
552.0,19.44
550.0,19.32
548.0,19.09
546.0,18.89
544.0,18.79
542.0,18.63
540.0,18.24
538.0,17.55
536.0,16.51
534.0,15.35
532.0,14.52
530.0,14.07
528.0,13.69
526.0,12.93
524.0,11.60
522.0,10.27
520.0,9.75
518.0,10.69
516.0,12.47
514.0,13.26
512.0,13.31
510.0,13.53
508.0,13.77
506.0,13.92
504.0,14.06
502.0,14.25
500.0,14.49
498.0,14.77
496.0,15.02
494.0,15.19
492.0,15.13
490.0,14.75
488.0,14.21
486.0,13.55
484.0,12.61
482.0,11.63
480.0,11.06
478.0,10.94
476.0,10.88
474.0,10.44
472.0,9.94
470.0,9.66
468.0,9.52
466.0,9.41
464.0,9.34
462.0,9.38
460.0,9.52
458.0,9.70
456.0,9.82
454.0,9.80
452.0,9.67
450.0,9.49
448.0,9.28
446.0,9.20
444.0,9.10
442.0,8.93
440.0,8.85
438.0,8.98
436.0,9.28
434.0,9.63
432.0,9.85
430.0,10.20
428.0,10.54
426.0,10.57
424.0,10.40
422.0,10.12
420.0,9.73
418.0,9.23
416.0,8.59
414.0,7.77
412.0,6.80
410.0,5.69
408.0,4.47
406.0,3.28
404.0,2.21
402.0,1.32
400.0,0.69
398.0,0.31
396.0,0.11
394.0,0.04
392.0,0.01
390.0,0.01
388.0,0.01
386.0,0.01
384.0,0.01
382.0,0.01
380.0,0.01
378.0,0.00
376.0,0.00
374.0,0.00
372.0,0.00
370.0,0.00
368.0,0.00
366.0,0.00
364.0,0.00
362.0,0.00
360.0,0.00
358.0,0.00
356.0,0.00
354.0,0.01
352.0,0.01
350.0,0.01
348.0,0.01
346.0,0.01
344.0,0.01
342.0,0.01
340.0,0.01
338.0,0.01
336.0,0.01
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.01
324.0,0.01
322.0,0.02
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
248.0,0.00
246.0,0.00
244.0,0.00
242.0,0.00
240.0,0.00
238.0,0.00
236.0,0.00
234.0,0.00
232.0,0.00
230.0,0.00
228.0,0.00
226.0,0.00
224.0,0.00
222.0,0.00
220.0,0.00
218.0,0.00
216.0,0.00
214.0,0.00
212.0,0.00
210.0,0.00
208.0,0.01
206.0,0.01
204.0,0.01
202.0,0.01
200.0,0.02
